x,actual_cdf,predicted_cdf
0,0.0,0.02633641285720694
1,0.0,0.02956169833011603
2,0.0,0.033221813618731104
3,0.0,0.03737156537013078
4,0.0,0.042071471250139096
5,0.0,0.047388000039926534
6,0.0004,0.05339370507306683
7,0.0016,0.06016720804856801
8,0.0038,0.06779298173848662
9,0.01,0.07636087172627311
10,0.0186,0.0859652900025095
11,0.0294,0.09670400835957721
12,0.0448,0.10867647887860203
13,0.0634,0.12198161465442564
14,0.0818,0.13671497886000525
15,0.1072,0.15296535698713729
16,0.1362,0.17081072790077326
17,0.1616,0.19031370541334144
18,0.2004,0.21151659266241793
19,0.2332,0.23443627297432543
20,0.2678,0.259059245706179
21,0.2992,0.2853371923459229
22,0.34,0.31318351207361744
23,0.3766,0.34247128066215016
24,0.4114,0.37303304727356246
25,0.4468,0.404662781399691
26,0.4828,0.43712011780175425
27,0.514,0.47013683437888226
28,0.546,0.5034252626666504
29,0.5728,0.5366881084525194
30,0.6002,0.569628988323216
31,0.6282,0.6019628979694693
32,0.6538,0.6334258367303247
33,0.6808,0.6637829185127291
34,0.7066,0.6928344820455328
35,0.7262,0.720419940576829
36,0.7492,0.7464193448590712
37,0.7674,0.7707528394154681
38,0.7862,0.7933783464364158
39,0.8012,0.8142879029201522
40,0.8156,0.8335031058946938
41,0.8282,0.8510700980216654
42,0.8412,0.8670544668905776
43,0.8528,0.8815363521764923
44,0.8648,0.8946059699064943
45,0.8736,0.9063596831192291
46,0.8838,0.9168966799404081
47,0.8934,0.9263162666552812
48,0.9008,0.9347157450928045
49,0.9082,0.9421888190983956
50,0.915,0.9488244616678889
51,0.9214,0.9547061697537239
52,0.9274,0.9599115352769638
53,0.9332,0.9645120662945642
54,0.9376,0.9685731998481495
55,0.9416,0.9721544564822553
56,0.9458,0.975309694891574
57,0.9496,0.9780874330879717
58,0.9528,0.9805312095641553
59,0.9582,0.9826799640417432
60,0.962,0.9845684225130842
61,0.9642,0.9862274754759123
62,0.9672,0.9876845416139871
63,0.969,0.9889639118079572
64,0.9714,0.9900870703834496
65,0.973,0.9910729920259174
66,0.9744,0.9919384139108929
67,0.9774,0.9926980833977753
68,0.9792,0.9933649821856474
69,0.9808,0.9939505281889853
70,0.982,0.9944647566065136
71,0.984,0.9949164817653025
72,0.985,0.9953134413539597
73,0.9854,0.9956624246361747
74,0.9864,0.9959693861763913
75,0.9882,0.996239546526134
76,0.9896,0.996477481222257
77,0.9908,0.9966871993442465
78,0.9922,0.9968722127717857
79,0.9928,0.9970355971796115
80,0.9932,0.9971800457066646
81,0.9938,0.9973079161421176
82,0.9946,0.9974212723829708
83,0.995,0.9975219208369084
84,0.995,0.9976114423701021
85,0.9954,0.9976912203324769
86,0.996,0.9977624651323456
87,0.9962,0.9978262357778451
88,0.9962,0.9978834587538895
89,0.9962,0.9979349445598684
90,0.997,0.997981402194657
91,0.9972,0.9980234518411866
92,0.9972,0.9980616359724138
93,0.9972,0.9980964290736696
94,0.9974,0.9981282461526166
95,0.9978,0.998157450187138
96,0.9978,0.9981843586430339
97,0.998,0.998209249177191
98,0.998,0.9982323646276225
99,0.998,0.9982539173792482
100,1.0,0.9982740931832748
