x,actual_cdf,predicted_cdf
0,0.0024,0.0
1,0.0042,0.0
2,0.0074,0.0
3,0.0108,0.007010633866936622
4,0.0138,0.014493155629946741
5,0.0166,0.022005896319985507
6,0.0224,0.02954855349644747
7,0.0278,0.0371208141529058
8,0.0328,0.04472235493322413
9,0.0398,0.052352842355359364
10,0.0444,0.06001193304249158
11,0.0508,0.06769927396110875
12,0.0586,0.07541450266567007
13,0.0664,0.08315724754945464
14,0.0748,0.0909271281011999
15,0.0822,0.09872375516712845
16,0.089,0.10654673121795255
17,0.0974,0.11439565062044704
18,0.1068,0.12227009991317062
19,0.1182,0.13016965808591927
20,0.1282,0.1380938968624912
21,0.14,0.14604238098634378
22,0.1486,0.15401466850872014
23,0.1604,0.1620103110788299
24,0.1712,0.1700288542356665
25,0.1792,0.1780698377010492
26,0.1904,0.18613279567348207
27,0.199,0.19421725712242638
28,0.2108,0.2023227460825911
29,0.2218,0.21044878194784977
30,0.2294,0.21859487976440667
31,0.2394,0.22676055052283225
32,0.249,0.23494530144860976
33,0.2582,0.24314863629083772
34,0.2688,0.2513700556087429
35,0.2796,0.2596090570556754
36,0.2886,0.26786513566026354
37,0.2968,0.27613778410442147
38,0.3038,0.2844264929979158
39,0.3134,0.292730751149207
40,0.3222,0.3010500458323027
41,0.3298,0.3093838630493632
42,0.3352,0.3177316877888235
43,0.3446,0.32609300427880583
44,0.3524,0.3344672962356115
45,0.3584,0.34285404710709555
46,0.3658,0.3512527403107478
47,0.3714,0.3596628594663061
48,0.3776,0.36808388862275926
49,0.3826,0.37651531247959835
50,0.391,0.3849566166021942
51,0.3984,0.3934072876311985
52,0.404,0.4018668134858694
53,0.4128,0.4103346835612502
54,0.4202,0.4188103889191292
55,0.4286,0.4272934224727367
56,0.4344,0.4357832791651343
57,0.4418,0.44427945614127856
58,0.4478,0.45278145291374156
59,0.4564,0.4612887715220897
60,0.4624,0.4698009166859349
61,0.4682,0.47831739595167627
62,0.4758,0.4868377198329712
63,0.4858,0.49536140194497436
64,0.4938,0.5038879591324045
65,0.5008,0.5124169115914954
66,0.5086,0.5209477829859102
67,0.5146,0.5294801005566941
68,0.523,0.5380133952263544
69,0.5322,0.5465472016971648
70,0.54,0.5550810585437969
71,0.5488,0.5636145083003816
72,0.5602,0.5721470975421215
73,0.5716,0.5806783769615687
74,0.5812,0.5892079014396918
75,0.5892,0.5977352301118634
76,0.5988,0.6062599264288946
77,0.6098,0.6147815582132564
78,0.622,0.623299697710621
79,0.6338,0.6318139216368649
80,0.6462,0.6403238112206747
81,0.6548,0.6488289522418991
82,0.6668,0.6573289350657876
83,0.6788,0.6658233546732681
84,0.6902,0.6743118106873964
85,0.7044,0.6827939073961322
86,0.7184,0.691269253771581
87,0.7308,0.6997374634858455
88,0.7456,0.7081981549236279
89,0.7578,0.7166509511917247
90,0.7726,0.7250954801255536
91,0.787,0.7335313742928469
92,0.7964,0.7419582709946492
93,0.808,0.7503758122637489
94,0.8196,0.7587836448606771
95,0.8302,0.767181420267398
96,0.8434,0.7755687946788168
97,0.8534,0.7839454289922236
98,0.8636,0.7923109887947992
99,0.8722,0.8006651443492856
100,1.0,0.8090075705779464
