x,actual_cdf,predicted_cdf
0,0.0764,0.042793192042708816
1,0.079,0.049733744655335255
2,0.0828,0.056819400694831934
3,0.0892,0.06404892938931328
4,0.0946,0.07142099270923702
5,0.1006,0.07893414475952745
6,0.1062,0.0865868313239922
7,0.1126,0.094377389568009
8,0.1166,0.10230404790519529
9,0.121,0.11036492603343515
10,0.1278,0.11855803514530078
11,0.1354,0.1268812783175011
12,0.14,0.13533245108356712
13,0.149,0.1439092421935216
14,0.1556,0.15260923456378347
15,0.1622,0.16142990642002863
16,0.1712,0.17036863263516677
17,0.1788,0.1794226862640122
18,0.1854,0.18858924027560478
19,0.1932,0.19786536948349992
20,0.1996,0.20724805267369026
21,0.2086,0.21673417492913827
22,0.2162,0.22632053014920922
23,0.2228,0.2360038237615851
24,0.232,0.2457806756235339
25,0.2412,0.25564762310868344
26,0.2508,0.26560112437473965
27,0.2596,0.27563756180687254
28,0.268,0.28575324563078897
29,0.2798,0.2959444176888216
30,0.291,0.3062072553716851
31,0.2984,0.3165378756979001
32,0.3088,0.3269323395322521
33,0.32,0.3373866559340562
34,0.3274,0.3478967866254324
35,0.3376,0.3584586505692618
36,0.3474,0.36906812864601
37,0.3596,0.37972106841815634
38,0.3702,0.39041328897057015
39,0.3796,0.40114058581482637
40,0.3916,0.41189873584515607
41,0.4068,0.4226835023334887
42,0.4186,0.43349063995085035
43,0.432,0.44431589980226294
44,0.4434,0.45515503446221084
45,0.4578,0.4660038029977378
46,0.4716,0.4768579759662766
47,0.4834,0.4877133403754319
48,0.494,0.4985657045920884
49,0.508,0.5094109031884502
50,0.5184,0.5202448017128876
51,0.531,0.5310633013738
52,0.5432,0.5418623436250856
53,0.5564,0.5526379146422409
54,0.5676,0.5633860496785869
55,0.579,0.5741028372916415
56,0.591,0.5847844234302102
57,0.6014,0.5954270153733678
58,0.6118,0.6060268855131244
59,0.6238,0.6165803749732227
60,0.6382,0.6270838970571893
61,0.6498,0.63753394051946
62,0.6586,0.6479270726541074
63,0.6676,0.6582599421964183
64,0.6798,0.6685292820332994
65,0.6922,0.6787319117192161
66,0.7,0.6888647397950961
67,0.7082,0.6989247659083522
68,0.7192,0.7089090827328912
69,0.7314,0.7188148776886697
70,0.74,0.7286394344610452
71,0.748,0.7383801343208247
72,0.7572,0.7480344572465597
73,0.7646,0.7575999828512404
74,0.7734,0.7670743911161366
75,0.7802,0.7764554629350755
76,0.788,0.785741080472978
77,0.7972,0.7949292273429576
78,0.8038,0.8040179886067451
79,0.8128,0.8130055506036091
80,0.8216,0.8218902006133355
81,0.8286,0.8306703263591608
82,0.8352,0.8393444153568657
83,0.8428,0.8479110541164985
84,0.8488,0.8563689272034356
85,0.8566,0.8647168161656693
86,0.8636,0.8729535983343784
87,0.8698,0.8810782455049591
88,0.876,0.8890898225057762
89,0.884,0.8969874856619535
90,0.8896,0.9047704811615489
91,0.8942,0.9124381433314415
92,0.901,0.9199898928302408
93,0.9054,0.9274252347654457
94,0.9094,0.9347437567420094
95,0.914,0.9419451268493495
96,0.9186,0.9490290915937025
97,0.924,0.9559954737825913
98,0.928,0.9628441703679773
99,0.9332,0.969575150254498
100,1.0,0.976188452078995
