x,actual_cdf,predicted_cdf
0,0.0512,0.0546670930896474
1,0.0626,0.06947161550263689
2,0.0714,0.08404929873453487
3,0.0828,0.09839993076151737
4,0.0966,0.11252359233641718
5,0.1106,0.1264206605823696
6,0.1242,0.14009181194775827
7,0.1396,0.15353802449150383
8,0.1542,0.16676057946950817
9,0.1654,0.17976106219512805
10,0.181,0.19254136214887557
11,0.196,0.205103672315142
12,0.2108,0.21745048772660175
13,0.2246,0.22958460320007412
14,0.239,0.2415091102509676
15,0.2536,0.25322739317702375
16,0.267,0.26474312430585234
17,0.2796,0.27606025840472737
18,0.2894,0.2871830262552365
19,0.3012,0.29811592739962545
20,0.311,0.30886372207004076
21,0.3232,0.3194314223162835
22,0.3346,0.3298242823521319
23,0.3478,0.34004778814473263
24,0.3564,0.3501076462759436
25,0.365,0.36000977210882157
26,0.3762,0.36976027729662575
27,0.3868,0.3793654566757195
28,0.3974,0.38883177458757373
29,0.409,0.39816585067863686
30,0.4158,0.40737444523014166
31,0.4264,0.41646444407289923
32,0.4344,0.4254428431447845
33,0.4444,0.43431673275089
34,0.4532,0.44309328158821715
35,0.4608,0.45177972059825144
36,0.4694,0.4603833267118099
37,0.4786,0.46891140655117036
38,0.4888,0.4773712801546439
39,0.499,0.4857702647884776
40,0.5068,0.49411565891024023
41,0.5152,0.5024147263466786
42,0.5236,0.5106746807474413
43,0.532,0.5189026703740653
44,0.5408,0.5271057632812282
45,0.5482,0.5352909329445186
46,0.5548,0.5434650443858937
47,0.564,0.5516348408445856
48,0.5714,0.559806931037577
49,0.5782,0.5679877770498452
50,0.5852,0.5761836828905054
51,0.591,0.5844007837467164
52,0.5968,0.5926450359628485
53,0.604,0.6009222077679822
54,0.6138,0.6092378707703027
55,0.6202,0.6175973922324883
56,0.6282,0.6260059281377477
57,0.634,0.6344684170517806
58,0.6426,0.6429895747816854
59,0.6496,0.651573889828712
60,0.6552,0.6602256196277948
61,0.664,0.6689487875630508
62,0.6712,0.6777471807448684
63,0.6772,0.68662434853091
64,0.685,0.695583601770289
65,0.693,0.7046280127473789
66,0.7026,0.7137604157992042
67,0.7118,0.7229834085781088
68,0.7186,0.7322993539294467
69,0.7268,0.7417103823523665
70,0.7352,0.7512183950103712
71,0.7448,0.7608250672572184
72,0.7542,0.7705318526428913
73,0.768,0.7803399873637817
74,0.7794,0.7902504951209026
75,0.7934,0.800264192349849
76,0.8044,0.8103816937863639
77,0.8174,0.8206034183316944
78,0.8284,0.8309295951824696
79,0.8422,0.8413602701905245
80,0.8546,0.8518953124189786
81,0.8644,0.8625344208618662
82,0.8744,0.8732771312957771
83,0.883,0.8841228232331815
84,0.893,0.8950707269484732
85,0.9002,0.9061199305491537
86,0.9076,0.9172693870660706
87,0.9134,0.9285179215381237
88,0.9206,0.9398642380684175
89,0.9284,0.9513069268303838
90,0.9356,0.9628444710040066
91,0.9428,0.9744752536238074
92,0.9512,0.9861975643218482
93,0.9594,0.9980096059505116
94,0.9658,1.0
95,0.9726,1.0
96,0.9772,1.0
97,0.9844,1.0
98,0.9906,1.0
99,0.9958,1.0
100,1.0,1.0
