x,actual_cdf,predicted_cdf
0,0.078,0.08740414098302286
1,0.0984,0.111597937297831
2,0.1228,0.13527091381533293
3,0.1478,0.15840706070895244
4,0.1756,0.18099088561126547
5,0.2042,0.20300748820377243
6,0.228,0.22444263797435315
7,0.2496,0.24528285487382998
8,0.2712,0.2655154925383398
9,0.2916,0.2851288236757611
10,0.3128,0.3041121271429442
11,0.3294,0.3224557761668968
12,0.3474,0.3401513270884298
13,0.361,0.3571916079323755
14,0.3776,0.37357080603582193
15,0.3934,0.38928455389647465
16,0.409,0.4043300123390814
17,0.4222,0.41870595004074007
18,0.4358,0.4324128184078806
19,0.448,0.4454528207608009
20,0.4606,0.45782997475791853
21,0.472,0.46955016698331137
22,0.4814,0.48062119862953323
23,0.4906,0.4910528212346586
24,0.4992,0.500856761479425
25,0.5062,0.5100467341180686
26,0.5142,0.5186384422055736
27,0.5218,0.5266495638944921
28,0.5294,0.5340997252057529
29,0.538,0.5410104583287163
30,0.5436,0.5474051451744182
31,0.5482,0.553308946090014
32,0.5534,0.5587487138389067
33,0.558,0.5637528931563232
34,0.5628,0.5683514064001878
35,0.5676,0.5725755260275871
36,0.5712,0.5764577348332747
37,0.5764,0.5800315750837595
38,0.5808,0.583331487863761
39,0.5826,0.5863926441167029
40,0.5862,0.5892507690031845
41,0.5908,0.5919419613173598
42,0.5946,0.5945025097877465
43,0.599,0.5969687081438833
44,0.6034,0.5993766708519559
45,0.6072,0.6017621514104179
46,0.61,0.6041603650510754
47,0.6136,0.6066058176132871
48,0.6156,0.6091321422509874
49,0.6204,0.6117719454969439
50,0.6228,0.6145566640496605
51,0.627,0.6175164334695931
52,0.629,0.6206799697774279
53,0.6326,0.6240744647427163
54,0.6364,0.6277254954410048
55,0.639,0.6316569484464536
56,0.6418,0.6358909588193
57,0.645,0.6404478638475501
58,0.6478,0.6453461713137525
59,0.6518,0.650602541883704
60,0.655,0.6562317850571915
61,0.659,0.6622468679832649
62,0.6632,0.6686589363254938
63,0.6662,0.6754773462668979
64,0.6696,0.682709706669961
65,0.6768,0.6903619303539541
66,0.6808,0.6984382934189222
67,0.6876,0.7069415015318723
68,0.6974,0.7158727620944807
69,0.711,0.7252318612311526
70,0.724,0.7350172445696657
71,0.7454,0.7452261008318364
72,0.763,0.7558544473065927
73,0.7782,0.7668972163405612
74,0.7922,0.7783483420497206
75,0.8058,0.7902008465281016
76,0.8156,0.8024469249041597
77,0.824,0.8150780286708512
78,0.8314,0.8280849467901923
79,0.8384,0.8414578841461198
80,0.8452,0.8551865369897305
81,0.8506,0.8692601650877756
82,0.856,0.8836676603479445
83,0.8614,0.8983976117525967
84,0.868,0.9134383664858765
85,0.8736,0.9287780871874045
86,0.8796,0.944404805308946
87,0.8868,0.960306470588653
88,0.8966,0.9764709966907772
89,0.9066,0.9928863030873913
90,0.9136,1.0
91,0.9236,1.0
92,0.9314,1.0
93,0.9422,1.0
94,0.9516,1.0
95,0.9596,1.0
96,0.967,1.0
97,0.9752,1.0
98,0.9846,1.0
99,0.9956,1.0
100,1.0,1.0
